file	line	classification	reason	match
.github/workflows/ci.yml	15	UNRELATED BUSINESS TERMINOLOGY	Event subscriptions, git checkout, protocol upgrade, infrastructure resources, or ordinary technical vocabulary.	- name: Checkout
.github/workflows/ci.yml	16	UNRELATED BUSINESS TERMINOLOGY	Event subscriptions, git checkout, protocol upgrade, infrastructure resources, or ordinary technical vocabulary.	uses: actions/checkout@v4
.github/workflows/ci.yml	42	UNRELATED BUSINESS TERMINOLOGY	Event subscriptions, git checkout, protocol upgrade, infrastructure resources, or ordinary technical vocabulary.	- name: Checkout
.github/workflows/ci.yml	43	UNRELATED BUSINESS TERMINOLOGY	Event subscriptions, git checkout, protocol upgrade, infrastructure resources, or ordinary technical vocabulary.	uses: actions/checkout@v4
.github/workflows/ci.yml	68	UNRELATED BUSINESS TERMINOLOGY	Event subscriptions, git checkout, protocol upgrade, infrastructure resources, or ordinary technical vocabulary.	- name: Checkout
.github/workflows/ci.yml	69	UNRELATED BUSINESS TERMINOLOGY	Event subscriptions, git checkout, protocol upgrade, infrastructure resources, or ordinary technical vocabulary.	uses: actions/checkout@v4
.kiro/skills/react-patterns/SKILL.md	57	UNRELATED BUSINESS TERMINOLOGY	Event subscriptions, git checkout, protocol upgrade, infrastructure resources, or ordinary technical vocabulary.	- Clean up every subscription/interval in `useEffect` return
.kiro/skills/ui-ux-pro-max/data/colors.csv	27	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	26,Subscription Box Service,#D946EF,#FFFFFF,#E879F9,#0F172A,#EA580C,#FFFFFF,#FDF4FF,#86198F,#FFFFFF,#86198F,#F0EEF9,#64748B,#F5D0FE,#DC2626,#FFFFFF,#D946EF,Excitement purple + urgency orange [Accent adjusted from #F97316 for WCAG 3:1]
.kiro/skills/ui-ux-pro-max/data/colors.csv	52	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	51,Construction/Architecture,#64748B,#FFFFFF,#94A3B8,#0F172A,#EA580C,#FFFFFF,#F8FAFC,#334155,#FFFFFF,#334155,#EBF0F5,#64748B,#E2E8F0,#DC2626,#FFFFFF,#64748B,Industrial grey + safety orange [Accent adjusted from #F97316 for WCAG 3:1]
.kiro/skills/ui-ux-pro-max/data/colors.csv	103	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	102,Inventory & Stock Management,#334155,#FFFFFF,#475569,#FFFFFF,#059669,#FFFFFF,#F8FAFC,#0F172A,#FFFFFF,#0F172A,#F2F3F4,#64748B,#E6E8EA,#DC2626,#FFFFFF,#334155,Industrial slate + stock green
.kiro/skills/ui-ux-pro-max/data/google-fonts.csv	59	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	Alumni Sans Pinstripe,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention italic russian cyrillic slavic cyrillic extended english western european extended-latin european vietnamese,400 | 400i,,cyrillic | cyrillic-ext | latin | latin-ext | vietnamese,Robert Leuschke,1471,1835,No,2022-06-08,2025-09-16,https://fonts.google.com/specimen/Alumni+Sans+Pinstripe
.kiro/skills/ui-ux-pro-max/data/google-fonts.csv	1493	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	Questrial,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european extended-latin european vietnamese well-known common,400,,latin | latin-ext | vietnamese,Joe Prince | Laura Meseguer,159,1483,No,2011-08-10,2025-09-11,https://fonts.google.com/specimen/Questrial
.kiro/skills/ui-ux-pro-max/data/icons.csv	47	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	46,Commerce,shopping-cart,cart checkout basket buy,Phosphor,import { ShoppingCart } from '@phosphor-icons/react',<ShoppingCart size={20} weight="regular" />,Shopping cart e-commerce,Outline
.kiro/skills/ui-ux-pro-max/data/icons.csv	49	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	48,Commerce,credit-card,payment card checkout stripe,Phosphor,import { CreditCard } from '@phosphor-icons/react',<CreditCard size={20} weight="regular" />,Payment credit card,Outline
.kiro/skills/ui-ux-pro-max/data/landing.csv	7	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	6,Comparison Table + CTA,"comparison, table, compare, versus, cta","1. Hero, 2. Problem intro, 3. Comparison table (product vs competitors), 4. Pricing (optional), 5. CTA",Table: Right column. CTA: Below table,Table: Alternating rows (white/light grey). Your product: Highlight #FFFACD (light yellow) or green. Text: Dark,"Table row hover highlight, price toggle animations, feature checkmark animations",Use comparison to show unique value. Highlight your product row. Include 'free trial' in pricing row.
.kiro/skills/ui-ux-pro-max/data/landing.csv	9	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	8,Pricing Page + CTA,"pricing, plans, tiers, comparison, cta","1. Hero (pricing headline), 2. Price comparison cards, 3. Feature comparison table, 4. FAQ section, 5. Final CTA",Each card: CTA button. Sticky CTA in nav,"Free: Grey, Starter: Blue, Pro: Green/Gold, Enterprise: Dark. Cards: 1px border, shadow","Price toggle animation (monthly/yearly), card comparison highlight, FAQ accordion open/close",Recommend starter plan (pre-select/highlight). Show annual discount (20-30%). Use FAQs to address concerns.
.kiro/skills/ui-ux-pro-max/data/landing.csv	14	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	13,Comparison Table Focus,"comparison, table, versus, compare, features","1. Hero (problem statement), 2. Comparison matrix (you vs competitors), 3. Feature deep-dive, 4. Winner CTA",After comparison table (highlighted row) + Bottom,Your product column highlighted (accent bg or green). Competitors neutral. Checkmarks green.,"Table row hover highlight, feature checkmark animations, sticky comparison header",Show value vs competitors. 35% higher conversion. Be factual. Include pricing if favorable.
.kiro/skills/ui-ux-pro-max/data/landing.csv	15	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	14,Pricing-Focused Landing,"pricing, price, cost, plans, subscription","1. Hero (value proposition), 2. Pricing cards (3 tiers), 3. Feature comparison, 4. FAQ, 5. Final CTA",Each pricing card + Sticky CTA in nav + Bottom,Popular plan highlighted (brand color border/bg). Free: grey. Enterprise: dark/premium.,"Price toggle monthly/annual animation, card hover lift, FAQ accordion smooth open",Annual discount 20-30%. Recommend mid-tier (most popular badge). Address objections in FAQ.
.kiro/skills/ui-ux-pro-max/data/landing.csv	19	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	18,Event/Conference Landing,"event, conference, meetup, registration, schedule, hero-centric design, hero-centric","1. Hero (date/location/countdown), 2. Speakers grid, 3. Agenda/schedule, 4. Sponsors, 5. Register CTA",Register CTA sticky + After speakers + Bottom,Urgency colors (countdown). Event branding. Speaker cards professional. Sponsor logos neutral.,"Countdown timer, speaker hover cards with bio, agenda tabs, early bird countdown",Early bird pricing with deadline. Social proof (past attendees). Speaker credibility. Multi-ticket discounts.
.kiro/skills/ui-ux-pro-max/data/landing.csv	34	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	33,Trust & Authority + Conversion,"trust & authority, trust, authority, conversion, credibility, enterprise","1. Hero (mission/credibility), 2. Proof (logos, certs, stats), 3. Solution overview, 4. Clear CTA path",Contact Sales / Get Quote (primary) + Nav,"Navy/Grey corporate. Trust blue. Accent for CTA only.","Logo carousel, stat counters, testimonial strip","Security badges. Case studies. Transparent pricing. Low-friction form."
.kiro/skills/ui-ux-pro-max/data/landing.csv	35	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	34,Real-Time / Operations Landing,"real-time, real-time monitor, operations, dashboard, telemetry, live data","1. Hero (product + live preview or status), 2. Key metrics/indicators, 3. How it works, 4. CTA (Start trial / Contact)","Primary CTA in nav + After metrics",Dark or neutral. Status colors (green/amber/red). Data-dense but scannable.,"Live data ticker, status pulse, minimal decoration","For ops/security/iot products. Demo or sandbox link. Trust signals."
.kiro/skills/ui-ux-pro-max/data/products.csv	2	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	1,SaaS (General),"app, b2b, cloud, general, saas, software, subscription",Glassmorphism + Flat Design,"Soft UI Evolution, Minimalism",Hero + Features + CTA,Data-Dense + Real-Time Monitoring,Trust blue + accent contrast,Balance modern feel with clarity. Focus on CTAs.
.kiro/skills/ui-ux-pro-max/data/products.csv	27	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	26,Subscription Box Service,"subscription, box, recurring, membership, unboxing, curated, plan, monthly, surprise, product-box",Vibrant & Block-based + Motion-Driven,"Claymorphism, Aurora UI",Feature-Rich Showcase,E-commerce Analytics,Brand + Excitement colors,Unboxing experience. Personalization quiz. Subscription management. Product reveals.
.kiro/skills/ui-ux-pro-max/data/products.csv	39	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	38,Hotel/Hospitality,"hospitality, hotel",Liquid Glass + Minimalism,"Glassmorphism, Soft UI Evolution",Hero-Centric Design + Social Proof,Revenue Management Dashboard,Warm neutrals + Gold (#D4AF37) + Brand accent,Room booking. Amenities showcase. Location maps. Guest reviews. Seasonal pricing. Luxury imagery.
.kiro/skills/ui-ux-pro-max/data/products.csv	42	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	41,Insurance Platform,"insurance, platform",Trust & Authority + Flat Design,"Accessible & Ethical, Minimalism",Conversion-Optimized + Trust,Claims Analytics Dashboard,Trust Blue (#0066CC) + Green (security) + Neutral,Quote calculator. Policy comparison. Claims process. Trust signals. Clear pricing. Security badges.
.kiro/skills/ui-ux-pro-max/data/products.csv	67	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	66,News/Media Platform,"content, entertainment, media, news, platform, streaming, video",Minimalism + Flat Design,"Dark Mode (OLED), Accessible & Ethical",Hero-Centric Design + Feature-Rich,Media Analytics Dashboard,Brand colors + High contrast + Category colors,Article layout. Breaking news. Categories. Search. Subscription. Mobile reading. Fast loading.
.kiro/skills/ui-ux-pro-max/data/products.csv	72	UNRELATED BUSINESS TERMINOLOGY	Generic design reference catalog, not LeadCRM entitlement rules.	71,Membership/Community,"community, membership",Vibrant & Block-based + Soft UI Evolution,"Bento Box Grid, Micro-interactions",Social Proof-Focused + Conversion,Community Analytics,Community brand colors + Engagement accents,Member benefits. Pricing tiers. Community showcase. Events. Member directory. Exclusive content.
